Algoritmo,Longitud,NodosExpandidos,ProfundidadMax,Tiempo(s),Optimo
BFS,73,321,73,0.0,Sí
DFS,123,377,124,0.001,No
Greedy,97,375,97,0.001,No
A*,73,649,73,0.001,Sí
