Episode,Steps,WoodCollected,TotalReward,AvgReward,Epsilon,MoveActions,TurnActions,AttackActions
0,4430,3,-3020.0,-0.6817155756207675,1.0,2356,1413,591
1,2422,3,980.0,0.4046242774566474,0.995,1329,714,337
2,607,3,9070.0,14.942339373970347,0.990025,329,194,74
3,5884,2,-11200.0,-1.903467029231815,0.985074875,3283,1824,709
4,5871,1,-18950.0,-3.2277295179696814,0.9801495006250001,3119,1904,770
5,5873,0,-7420.0,-1.2634088200238378,0.9752487531218751,3183,1872,730
6,5882,2,590.0,0.10030601836110166,0.9703725093562657,3084,1868,811
7,5886,0,-18170.0,-3.0869860686374446,0.9655206468094844,3186,1822,783
8,5880,1,-11390.0,-1.9370748299319729,0.960693043575437,3068,1898,772
9,5885,0,-21440.0,-3.643160577740017,0.9558895783575597,3145,1860,746
10,5881,0,-19650.0,-3.341268491753103,0.9511101304657719,3026,1929,792
11,5883,0,-14040.0,-2.3865374808771036,0.946354579813443,3153,1846,748
12,5885,2,-5240.0,-0.8903993203058623,0.9416228069143757,3103,1853,770
13,5890,0,-11840.0,-2.0101867572156196,0.9369146928798039,3113,1873,760
14,5881,0,-21810.0,-3.708552967182452,0.9322301194154049,3192,1795,762
15,5891,0,-14100.0,-2.393481582074351,0.9275689688183278,2853,2090,777
16,5886,2,-13480.0,-2.290180088345226,0.9229311239742362,3075,1899,770
17,5874,0,-28030.0,-4.771876064010895,0.918316468354365,2934,1971,751
18,5879,0,-19340.0,-3.2896751148154446,0.9137248860125932,3085,1873,718
19,5875,2,-6400.0,-1.0893617021276596,0.9091562615825302,2984,1944,754
20,5863,0,-30090.0,-5.132184888282449,0.9046104802746175,3058,1874,708
21,5867,0,-28740.0,-4.898585307652974,0.9000874278732445,2983,1992,776
22,5869,0,-13550.0,-2.308740841710683,0.8955869907338783,3022,1927,735
23,5871,0,-11030.0,-1.8787259410662578,0.8911090557802088,3008,1887,791
24,5880,0,-20980.0,-3.568027210884354,0.8866535105013078,2969,1887,821
25,5866,0,-20190.0,-3.4418683941356973,0.8822202429488013,3051,1963,674
26,5882,1,-19010.0,-3.231893913634818,0.8778091417340573,2936,1970,763
27,5867,0,-16240.0,-2.7680245440599966,0.8734200960253871,2963,2008,692
28,5871,0,-22840.0,-3.890308295009368,0.8690529955452602,2839,2002,806
29,5879,0,-29010.0,-4.934512672223168,0.8647077305675338,3100,1895,685
30,5879,0,-24960.0,-4.245620003401939,0.8603841919146962,3012,1911,765
31,5878,0,-19890.0,-3.3838040149710786,0.8560822709551227,2939,2048,674
32,5871,0,-24020.0,-4.091296201669222,0.851801859600347,2944,1922,778
33,5870,0,-16120.0,-2.746166950596252,0.8475428503023453,3064,1876,690
34,5871,0,-16570.0,-2.8223471299608245,0.8433051360508336,3017,1956,653
35,5870,0,-11660.0,-1.9863713798977853,0.8390886103705794,3065,1795,812
36,5874,1,-15510.0,-2.640449438202247,0.8348931673187264,2990,1903,742
37,5869,0,-10630.0,-1.8112114499914806,0.8307187014821328,2953,1913,760
38,5877,1,-18240.0,-3.1036242981112814,0.8265651079747222,2993,1892,739
39,5881,0,-22380.0,-3.8054752593096413,0.8224322824348486,3074,1890,646
40,5873,0,-13010.0,-2.2152222033032523,0.8183201210226743,3066,1786,704
41,5867,0,-20970.0,-3.5742287370035792,0.8142285204175609,3173,1772,699
42,5878,0,-16700.0,-2.8411024157876827,0.810157377815473,3052,1867,711
43,5870,0,-22500.0,-3.8330494037478706,0.8061065909263957,2976,2017,630
44,5868,0,-23070.0,-3.9314928425357873,0.8020760579717637,3066,1848,673
45,5874,0,-9750.0,-1.6598569969356487,0.798065677681905,2949,1902,764
46,5876,0,-32350.0,-5.505445881552077,0.7940753492934954,3122,1814,678
47,5873,0,-29510.0,-5.024689255916908,0.7901049725470279,2945,1931,719
48,5869,0,-15710.0,-2.6767762821605046,0.7861544476842928,2888,2066,687
49,5872,0,-18950.0,-3.2271798365122617,0.7822236754458713,2790,2052,712
