Episode,Steps,WoodCollected,TotalReward,AvgReward,Epsilon,MoveActions,TurnActions,AttackActions
0,5562,3,5130.0,0.9223300970873787,1.0,2934,1761,797
1,5737,2,-21750.0,-3.791180059264424,0.995,3119,1905,641
2,2553,3,5590.0,2.189580885233059,0.990025,1358,860,297
3,5735,0,1570.0,0.2737576285963383,0.985074875,2976,1766,881
4,1777,3,14480.0,8.148564997186268,0.9801495006250001,939,542,262
5,5724,2,-13660.0,-2.386443046820405,0.9752487531218751,3008,1800,824
6,5709,2,-9760.0,-1.7095813627605536,0.9703725093562657,2963,1912,754
7,5743,0,-16780.0,-2.9218178652272333,0.9655206468094844,3106,1779,731
8,5156,0,-17060.0,-3.308766485647789,0.960693043575437,2657,1768,592
9,5846,2,-11750.0,-2.009921313718782,0.9558895783575597,3144,1814,743
10,796,3,9780.0,12.28643216080402,0.9511101304657719,440,247,92
11,5851,1,-21030.0,-3.5942573918988208,0.946354579813443,3252,1734,723
12,5849,1,-17580.0,-3.005641990083775,0.9416228069143757,2997,1889,799
13,5859,1,-13240.0,-2.2597712920293564,0.9369146928798039,3128,1777,832
