Episode,Steps,WoodCollected,TotalReward,AvgReward,Epsilon,MoveActions,TurnActions,AttackActions
0,5866,2,-13280.0,-2.263893624275486,1.0,3087,1907,781
1,5867,2,-7370.0,-1.2561786262144197,0.995,3192,1795,801
2,2165,3,4640.0,2.143187066974596,0.990025,1154,719,263
3,2786,3,5780.0,2.0746590093323762,0.985074875,1574,847,333
4,1497,3,7970.0,5.323981295925184,0.9801495006250001,815,447,205
5,5875,0,-15280.0,-2.6008510638297873,0.9752487531218751,3150,1873,758
6,5866,0,-16050.0,-2.736106375724514,0.9703725093562657,3034,1892,809
7,5865,0,-21200.0,-3.6146632566069905,0.9655206468094844,3072,1873,823
8,5876,1,-16300.0,-2.773995915588836,0.960693043575437,3056,1910,769
9,5864,0,-9500.0,-1.6200545702592086,0.9558895783575597,3203,1832,685
10,5871,1,-18850.0,-3.210696644523931,0.9511101304657719,2994,1902,853
11,5868,0,-16920.0,-2.8834355828220857,0.946354579813443,3164,1802,737
12,5860,2,-16080.0,-2.744027303754266,0.9416228069143757,3110,1831,763
13,5863,0,-14690.0,-2.505543237250554,0.9369146928798039,3156,1829,718
14,5876,0,-31760.0,-5.40503744043567,0.9322301194154049,3135,1805,792
15,5880,0,-10830.0,-1.8418367346938775,0.9275689688183278,3003,1926,789
16,5867,1,-21940.0,-3.7395602522583946,0.9229311239742362,3088,1936,699
17,5864,0,-24380.0,-4.157571623465212,0.918316468354365,3025,1928,721
18,5865,0,-15520.0,-2.6462063086104006,0.9137248860125932,3137,1845,715
19,5870,0,-17410.0,-2.9659284497444633,0.9091562615825302,3021,1931,714
20,5864,0,-16300.0,-2.779672578444748,0.9046104802746175,2976,1877,760
21,5866,0,-17940.0,-3.0583020797817935,0.9000874278732445,2972,1987,755
22,5865,0,-11900.0,-2.028985507246377,0.8955869907338783,2979,1939,772
23,5866,0,-14510.0,-2.4735765427889533,0.8911090557802088,2995,1873,766
24,5864,0,-21730.0,-3.7056616643929057,0.8866535105013078,2920,1904,791
25,5873,0,-24680.0,-4.202281627788183,0.8822202429488013,3038,1932,708
26,5867,0,-17630.0,-3.004942900971536,0.8778091417340573,2965,1896,774
27,5870,0,-16770.0,-2.856899488926746,0.8734200960253871,2964,1967,718
28,5871,0,-23710.0,-4.038494293987395,0.8690529955452602,2904,1922,797
29,5874,0,-33320.0,-5.672454885938032,0.8647077305675338,3100,1874,680
30,5873,0,-20420.0,-3.4769283160224758,0.8603841919146962,2945,1967,719
31,5867,0,-22750.0,-3.8776205897392195,0.8560822709551227,2966,1907,698
32,5877,0,-17400.0,-2.9606942317508933,0.851801859600347,2957,1866,754
33,5870,0,-24460.0,-4.166950596252129,0.8475428503023453,2972,1849,738
34,5870,0,-11470.0,-1.9540034071550256,0.8433051360508336,3048,1834,724
35,5868,0,-27210.0,-4.637014314928425,0.8390886103705794,3068,1851,756
36,5867,1,-9970.0,-1.699335265041759,0.8348931673187264,2974,1912,779
37,5865,0,-29760.0,-5.0741687979539645,0.8307187014821328,2938,1813,837
38,5874,1,-25410.0,-4.325842696629214,0.8265651079747222,2944,1871,809
39,5871,0,-26120.0,-4.448986544029978,0.8224322824348486,2888,1985,708
40,5869,0,-26280.0,-4.477764525472823,0.8183201210226743,2973,1886,761
41,5871,0,-15420.0,-2.626469085334696,0.8142285204175609,3084,1825,727
42,5869,0,-25190.0,-4.292042937468053,0.810157377815473,2992,1861,733
43,5880,0,-32010.0,-5.4438775510204085,0.8061065909263957,3001,1889,650
44,5873,0,-22570.0,-3.843010386514558,0.8020760579717637,3027,1862,734
45,5862,0,-20400.0,-3.480040941658137,0.798065677681905,2931,1960,708
46,5875,0,-29540.0,-5.028085106382979,0.7940753492934954,2887,1990,692
47,5872,0,-19680.0,-3.35149863760218,0.7901049725470279,2896,1969,716
48,5868,0,-31630.0,-5.39025221540559,0.7861544476842928,2897,1970,737
49,5865,0,-31930.0,-5.444160272804774,0.7822236754458713,2983,1952,656
