Episode,Steps,WoodCollected,TotalReward,AvgReward,Epsilon,MoveActions,TurnActions,AttackActions
0,2563,3,3980.0,1.5528677331252438,1.0,1342,803,382
1,2042,3,6870.0,3.364348677766895,1.0,1097,622,292
2,2862,3,6120.0,2.138364779874214,1.0,1490,926,403
3,2553,3,2020.0,0.791226008617313,1.0,1324,854,348
4,5799,2,-9280.0,-1.600275909639593,1.0,3090,1867,763
5,5790,2,-16350.0,-2.8238341968911915,1.0,3079,1842,779
6,2242,3,-190.0,-0.0847457627118644,1.0,1228,691,284
7,5650,3,-5600.0,-0.9911504424778761,1.0,2916,1871,786
8,4973,3,9930.0,1.9967826261813795,1.0,2667,1567,676
9,5805,2,460.0,0.07924203273040482,1.0,3050,1836,830
10,5352,3,-2300.0,-0.429745889387145,1.0,2843,1742,691
11,2479,3,-470.0,-0.18959257765227913,1.0,1369,764,292
12,467,3,9840.0,21.07066381156317,1.0,222,171,62
13,3894,3,-1100.0,-0.2824858757062147,1.0,2149,1179,514
14,5494,3,-5430.0,-0.9883509282854023,1.0,2868,1823,749
15,2546,3,2310.0,0.9073055773762765,1.0,1359,821,328
16,3216,3,10160.0,3.1592039800995027,1.0,1704,1038,436
17,5629,3,-3890.0,-0.6910641321726773,1.0,3130,1705,720
18,1540,3,5520.0,3.5844155844155843,1.0,830,454,226
19,2092,3,7540.0,3.604206500956023,1.0,1138,617,313
20,2828,3,-2910.0,-1.028995756718529,1.0,1527,876,391
21,2098,3,9880.0,4.709246901811249,1.0,1149,630,285
22,3482,3,2080.0,0.5973578403216542,1.0,1771,1162,491
23,5012,3,-860.0,-0.17158818834796488,1.0,2588,1695,659
24,2018,3,6050.0,2.9980178394449952,1.0,1039,678,280
25,2147,3,6020.0,2.8039124359571495,1.0,1184,634,299
26,1935,3,7710.0,3.9844961240310077,1.0,1016,639,261
27,2360,3,3570.0,1.5127118644067796,1.0,1213,829,284
28,2664,3,9780.0,3.671171171171171,1.0,1510,774,342
29,4331,3,6200.0,1.4315400600323251,1.0,2314,1393,585
30,5478,3,-3860.0,-0.7046367287331142,1.0,2880,1764,744
31,4964,3,-5650.0,-1.138195004029009,1.0,2670,1601,625
32,721,3,9520.0,13.20388349514563,1.0,386,224,106
33,3231,3,10430.0,3.22810275456515,1.0,1660,1103,426
34,4005,3,-590.0,-0.14731585518102372,1.0,2171,1271,512
35,1327,3,9840.0,7.415222305953278,1.0,670,453,184
36,5792,1,-12460.0,-2.151243093922652,1.0,3056,1848,788
37,1713,3,9840.0,5.74430823117338,1.0,932,517,236
38,3800,3,2850.0,0.75,1.0,1998,1200,559
39,5792,1,-19520.0,-3.3701657458563536,1.0,3052,1907,757
40,1164,3,10470.0,8.994845360824742,1.0,591,400,162
41,2098,3,2080.0,0.9914204003813155,1.0,1090,718,273
42,3004,3,5810.0,1.934087882822903,1.0,1606,989,380
43,807,3,13080.0,16.20817843866171,1.0,450,251,92
44,5790,2,-22940.0,-3.9620034542314335,1.0,3080,1835,810
45,2417,3,6090.0,2.5196524617294167,1.0,1306,803,282
46,3548,3,1350.0,0.3804960541149944,1.0,1823,1181,497
47,2384,3,2170.0,0.910234899328859,1.0,1243,773,344
48,2585,3,2650.0,1.0251450676982592,1.0,1433,770,358
49,5771,2,-15280.0,-2.6477213654479295,1.0,2913,1935,835
