Episode,Steps,WoodCollected,TotalReward,AvgReward,Epsilon,MoveActions,TurnActions,AttackActions
0,3847,3,200.0,0.05198856251624642,1.0,2032,1187,591
1,861,3,12070.0,14.018583042973287,0.995,466,266,111
2,2460,3,3710.0,1.508130081300813,0.990025,1319,753,344
3,1731,3,10140.0,5.8578856152513,0.985074875,926,550,224
4,4693,3,-6320.0,-1.346686554442787,0.9801495006250001,2537,1455,615
5,3318,3,7840.0,2.3628691983122363,0.9752487531218751,1695,1061,470
6,4220,3,3750.0,0.8886255924170616,0.9703725093562657,2224,1378,519
7,576,3,10380.0,18.020833333333332,0.9655206468094844,267,200,83
8,3215,3,2300.0,0.7153965785381027,0.960693043575437,1614,1087,432
9,5008,3,-2440.0,-0.48722044728434505,0.9558895783575597,2572,1596,673
10,4167,3,5920.0,1.4206863450923926,0.9511101304657719,2155,1364,504
11,2808,3,9630.0,3.4294871794871793,0.946354579813443,1449,906,369
12,2398,3,4080.0,1.701417848206839,0.9416228069143757,1205,828,287
13,5843,2,-13860.0,-2.3720691425637517,0.9369146928798039,2934,1932,762
14,5855,2,-18380.0,-3.139197267292912,0.9322301194154049,3009,1900,676
15,5926,2,-10130.0,-1.7094161322983463,0.9275689688183278,3096,1893,681
16,1752,3,4320.0,2.4657534246575343,0.9229311239742362,847,585,217
17,3438,3,-2590.0,-0.7533449680046539,0.918316468354365,1768,1154,422
18,2111,4,3350.0,1.586925627664614,0.9137248860125932,1014,691,263
19,3770,3,-3320.0,-0.8806366047745358,0.9091562615825302,1950,1216,428
20,2056,3,5330.0,2.592412451361868,0.9046104802746175,1032,623,280
21,5265,3,7420.0,1.409306742640076,0.9000874278732445,2565,1695,733
22,4514,3,-5790.0,-1.2826761187416924,0.8955869907338783,2207,1433,579
23,3852,3,-3810.0,-0.9890965732087228,0.8911090557802088,1904,1200,517
24,1437,3,9820.0,6.833681280445372,0.8866535105013078,719,450,221
25,4276,3,-9820.0,-2.2965388213283444,0.8822202429488013,2130,1418,481
26,2704,3,2050.0,0.7581360946745562,0.8778091417340573,1365,836,311
27,3199,3,-6690.0,-2.0912785245389185,0.8734200960253871,1563,1083,362
28,3500,3,-60.0,-0.017142857142857144,0.8690529955452602,1677,1159,426
29,5925,2,-11540.0,-1.9476793248945148,0.8647077305675338,2801,1995,712
30,2963,3,-6860.0,-2.315221059736753,0.8603841919146962,1387,981,335
31,3368,3,-1990.0,-0.5908551068883611,0.8560822709551227,1549,1163,429
32,926,3,8620.0,9.308855291576673,0.851801859600347,418,288,137
33,3400,3,-4340.0,-1.276470588235294,0.8475428503023453,1632,1153,342
34,1132,3,7310.0,6.457597173144876,0.8433051360508336,509,420,122
35,5921,2,-35780.0,-6.042898159094747,0.8390886103705794,2762,1910,741
36,2366,3,280.0,0.11834319526627218,0.8348931673187264,1044,795,308
37,1845,3,5580.0,3.024390243902439,0.8307187014821328,826,636,212
38,5895,0,-27440.0,-4.6547921967769295,0.8265651079747222,2647,1882,742
39,1698,3,2120.0,1.248527679623086,0.8224322824348486,765,556,182
40,2350,3,-2360.0,-1.004255319148936,0.8183201210226743,1018,801,262
41,2525,3,-3640.0,-1.4415841584158415,0.8142285204175609,1118,889,290
42,1205,3,3140.0,2.6058091286307055,0.810157377815473,538,422,129
43,2352,3,2820.0,1.1989795918367347,0.8061065909263957,1081,774,271
44,5841,2,-32120.0,-5.499058380414312,0.8020760579717637,2807,1889,634
45,1528,3,8160.0,5.340314136125654,0.798065677681905,717,527,174
46,2229,3,-120.0,-0.05383580080753701,0.7940753492934954,997,797,240
47,1505,3,4620.0,3.0697674418604652,0.7901049725470279,657,502,159
48,5861,2,-33420.0,-5.702098617983279,0.7861544476842928,2724,1872,676
49,5707,3,-13840.0,-2.42509199229017,0.7822236754458713,2460,1982,609
